psr_name, pos_epoch, ra_str, dec_str, pmra_str, pmdec_str, plx_str, 
J0621+1002, 49950.0, 06:21:22.1103(6), +10:02:38.79(4), , , , 
J1022+1001, 49780.0, 10:22:58.06(6), +10:01:54(3), , , , 
