    PSR J      R.A. (J2000)        Dec. (J2000)         Period              Þ         Epoch         DM       Ơ,      Å
               hh mm ss                                   (s)             (10-15)    (MJD)       (cm33 pc)  (ms)
   1350-5115   13:50:16.118 (6)  -51:15:24.77 (4)  0.29569917630 (3)    0.7526 (6)   49485.39    90.388 (8)  0.20
   1356-5521   13:56:50.558 (5)  -55:21:12.96 (5)  0.507379566696 (6)   0.72350 (10) 49016.00   174.172 (6)  1.15 <-2.1
   1358-2533   13:58:42 (20)     -25:33 (4)        0.912971 (1)                      48742.00    31.3 (3)
   1403-7646   14:03:04.1 (2)    -76:46:57.5 (6)   0.6530989060 (4)     0.602 (8)    49526.44   100.6 (1)    2.19
   1418-3921   14:18:50.283 (5)  -39:21:18.5 (1)   1.09680600340 (2)    0.8892 (3)   49014.00    60.490 (10) 1.24 <-2.0
   1542-5034   15:42:45.47 (1)   -50:34:014 (2)    0.5992450364 (1)     3.968 (3)    48958.00    95 (3)      0.96    0.4
   1549-4848   15:49:21.154 (4)  -48:48:37.44 (8)  0.288346763122 (2)  14.10892 (3)  48736.00    55.983 (8)  2.17   -1.2
   1557-4258   15:57:00.2580 (9) -42:58:12.66 (2)  0.329186857758 (2)   0.33012 (2)  48017.00   144.497 (2)  0.30   -2.1
   1603-2531   16:03:04.883 (2)  -25:31:48.4 (1)   0.2830701962441 (2)  1.59630 (2)  49408.20    53.758 (1)  0.17
   1603-5657   16:03:31.46 (2)   -56:57:44.19 (8)  0.49607711306 (9)    2.795 (3)    49524.43   264.07 (2)   0.37
   1604-7203   16:04:29.177 (5)  -72:03:30.46 (4)  0.341402932218 (4)   0.0840 (2)   49529.39    54.370 (5)  0.49
   1614-3937   16:14:31.227 (7)  -39:37:28.8 (2)   0.407292274238 (6)   0.15851 (10) 49016.00   152.44 (2)   3.35   -1.8
   1622-4332   16:22:45.468 (8)  -43:32:28.2 (3)   0.91693752262 (2)    1.5649 (4)   49100.00   230.68 (2)    2.10   -1.3
   1625-4048   16:25:10.33 (2)   -40:48:21.5 (7)   2.3552781933 (2)     0.443 (3)    49012.00   145 (6)      2.84 <-1.2
   1648-3256   16:48:06.070 (4)  -32:56:40.8 (2)   0.719454779443 (2)   3.53059 (10) 49411.80 128.278 (6)  0.52  -1.7
   1650-1654   16:50:27.20 (1)   -16:54:41.5 (9)   1.74955133091 (2)    3.2012 (6)   49361.40    43.15 (2)   1.75   -1.6
   1654-2713   16:54:23.56 (3)   -27:13:06.00 (3)  0.79182241484 (8)    0.168 (2)    49139.00   92.45 (5)   0.84
   1700-3312   17:00:53.027 (9)  -33:12:45.1 (6)   1.35830642761 (1)    4.7072 (5)   49423.70   166.79 (2)  1.82   -1.5
   1703-4851   17:03:54.40 (1)   -48:51:55.8 (2)   1.39640107763 (5)    5.0804 (6)   48736.00   150.29 (3)   0.85   -1.0
   1705-3423   17:05:42.369 (4)  -34:23:44.5 (2)   0.2554260190055 (6)  1.07629 (4)  49499.90   146.437 (9) 0.81   -1.6
   1708-3426   17:08:57.75 (1)   -34:26:47.5 (8)   0.692112695576 (8)   4.2021 (4)   49338.80   190.52 (3)   2.84   -1.4
   1732-1930   17:32:19.987 (9)  -19:30:17 (2)     0.48376997266 (5)    0.178 (2)    49575.33   73.04 (4)   0.48
   1744-2335   17:44:48.47 (5)   -23:35:55 (26)    1.68350668862 (2)    0.8327 (9)   49390.50   96.66 (2)   0.79 <-1.7
   1750-3503   17:50:44.501 (6)  -35:03:08.9 (5)   0.68401360292 (3)    0.0381 (4)   48735.00   189.35 (2)  4.50   -1.4
   1759-2922   17:59:48.243 (3)  -29:22:07.1 (4)   0.574399728488 (1)   4.62900 (7)  49507.40   79.399 (9)  0.29 <-2.4
   1808-0813   18:08:09.429 (3)  -08:13:01.5 (2)   0.876044127349 (3)   1.2395 (2)   49375.20   151.275 (8) 0.81 <-2.0
   1809-3547   18:09:26.98 (4)   -35:47:18 (2)     0.8603878390 (7)     0.120 (10)   49388.90   193.84 (7)   1.16
   1817-3837   18:17:00.270 (4)  -38:37:59.7 (2)   0.19224339146 (1)    0.2901 (3)   49526.46   102.847 (6) 0.26
   1822-4209   18:22:11.356 (3)  -42:09:10.98 (7)  0.456511944952 (4)   0.45864 (6)  49015.00   72.514 (5)  0.61   -2.1
   1823-0154   18:23:52.145 (3)  -01:54:04.6 (2)   0.759777320261 (3)   1.1305 (2)   49375.40   135.933 (8) 0.59   -2.0
   1835-1106   18:35:18.287 (2)  -11:06:15.1 (2)   0.1659069781495 (2) 20.610607 (8) 49445.70 132.679 (3) 23.18   0.0
   1837-0045   18:37:32.21 (4)   -00:45:11 (1)     0.61703649435 (4)    1.687 (8)    49636.50   86.9 (1)     2.49   -0.8
   1848-1414   18:48:39.160 (4)  -14:14:19.0 (3)   0.297769545567 (1)    0.01396 (5) 49428.50   134.350 (10)   0.84 <-2.0
