id,name,nref,raj,rajerr,raref,decj,decjerr,dref,pmra_radio,pmraerr,prref,pmdec_radio,pmdecerr,pdref,px,pxerr,pxref,posepoch,poseref,p0,p0err,p0ref,p1,p1err,p1ref,dm,dmerr,dmref,dist,pb,pberr,pbref,survey,surveyref,BinComp,BinCompref,Type,TypeRef,Assoc,raj_now,decj_now
22,J0024-7204Q,clf+00,6.068712083333333,0.0001,frk+17,-72.07365677777777,0.0001,frk+17,5.2,0.1,frk+17,-2.6,0.1,frk+17,,0.0,,51600.0,frk+17,0.0040331811845725,1.5e-16,frk+17,3.4008e-20,4e-24,frk+17,24.265,0.004,frk+17,4.69,1.1890840496,4e-10,frk+17,pksgc,He[rvh+15],,,"GC:47Tuc,XRS:[bgh+06],OPT:[rvh+15]",,,6.068711863848962,-72.07365666803558
23,J0024-7204R,clf+00,6.031604583333333,0.0002,frk+17,-72.08066538888889,0.0002,frk+17,4.8,0.1,frk+17,-3.3,0.2,frk+17,,0.0,,51600.0,frk+17,0.0034804627074932,1.3e-16,frk+17,1.48352e-19,2.9999999999999996e-24,frk+17,24.361,0.007,frk+17,4.69,0.06623147751,6e-11,frk+17,pksgc,UL[clf+00],,,"GC:47Tuc,XRS:[bgh+06]",,,6.031604380732377,-72.08066524960074
24,J0024-7204S,clf+00,6.016580833333333,0.0001,frk+17,-72.07843138888889,0.0001,frk+17,4.5,0.1,frk+17,-2.5,0.1,frk+17,,0.0,,51600.0,frk+17,0.0028304059578791,8e-17,frk+17,-1.2054129999999998e-19,9e-25,frk+17,24.376,0.004,frk+17,4.69,1.2017242354,6e-10,frk+17,pksgc,He[rvh+15],,,"GC:47Tuc,XRS:[bhc+17],OPT:[rvh+15]",,,6.016580643394937,-72.07843128336755
25,J0024-7204T,clf+00,6.035621249999999,0.0005,frk+17,-72.07748111111111,0.0005,frk+17,5.1,0.6,frk+17,-2.6,0.7,frk+17,,0.0,,51600.0,frk+17,0.0075884798073671,1.2e-15,frk+17,2.93805e-19,1.2e-23,frk+17,24.41,0.02,frk+17,4.69,1.126176771,1e-09,frk+17,pksgc,He[cpf+15],,,"GC:47Tuc,XRS:[bgh+06],OPT:[cpf+15]",,,6.035621034736482,-72.07748100136894
26,J0024-7204U,clf+00,6.040985833333333,0.0001,frk+17,-72.06658005555555,0.0001,frk+17,4.6,0.2,frk+17,-3.8,0.1,frk+17,,0.0,,51600.0,frk+17,0.0043428266963923,1.2e-16,frk+17,9.52279e-20,1.7e-24,frk+17,24.337,0.004,frk+17,4.69,0.42910568324,8e-11,frk+17,pksgc,He[egh+01],,,"GC:47Tuc,XRS:[bgh+06],OPT:[cpf+15]",,,6.040985639174083,-72.06657989516313
27,J0024-7204W,clf+00,6.025241666666666,0.001,rft+16,-72.08030222222222,0.001,rft+16,6.1,0.5,rft+16,-2.6,0.3,rft+16,,0.0,,50000.0,rft+16,0.002352344531937,3e-16,rft+16,-8.65526e-20,1.2e-24,rft+16,24.367,0.003,rft+16,4.69,0.1329444433,5e-10,rft+16,pksgc,MS[egc+02],,,"GC:47Tuc,XRS:[bgh+06]",,,6.025248831813487,-72.0803052762186
28,J0024-7204X,fre08,6.093273541666666,9e-05,rft+16,-72.0215115,9e-05,rft+16,5.8,0.1,rft+16,-3.3,0.2,rft+16,,0.0,,54000.0,rft+16,0.0047715229106935,5e-17,rft+16,1.8361e-20,6.9999999999999995e-25,rft+16,24.539,0.005,rft+16,4.69,10.921183545,1e-09,rft+16,pksgc,,,,GC:47Tuc,,,6.093262710504388,-72.0215053374398
29,J0024-7204Y,frk+17,6.005844166666667,0.0001,frk+17,-72.07828786111111,0.0001,frk+17,4.4,0.1,frk+17,-3.4,0.1,frk+17,,0.0,,51600.0,frk+17,0.0021966571435212,5e-17,frk+17,-3.5172099999999994e-20,1e-24,frk+17,24.468,0.004,frk+17,4.69,0.5219386107,1e-10,frk+17,pksgc,He[cpf+15],,,"GC:47Tuc,OPT:[cpf+15]",,,6.005843980949125,-72.07828771760211
30,J0024-7204Z,frk+17,6.025170833333333,0.002,frk+17,-72.08374444444443,0.002,frk+17,4.0,2.0,frk+17,1.0,2.0,frk+17,,0.0,,51600.0,frk+17,0.004554447383906,3e-15,frk+17,-4.540000000000001e-21,7e-23,frk+17,24.45,0.04,frk+17,4.69,,0.0,,misc,,,,"GC:47Tuc,XRS:[bhc+17]",,,6.025170664499201,-72.08374448665298
31,J0026+6320,jml+09,6.7106708333333325,0.008,jml+09,63.333575,0.008,jml+09,0.0,0.0,,0.0,0.0,,,0.0,,56675.0,,0.31835777079,3e-11,sjm+19,1.506e-16,6e-19,sjm+19,245.06,0.06,sjm+19,6.619,,0.0,,"misc,gbncc",,,,,,,6.710670833333332,63.333575
