#Table: J/MNRAS/353/1311/table6.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------
           |f|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |_|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |P|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |S|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |R|         |           |        |           |         |      |  e_p|       |    e_|      |    e|       |      |    |       |    |
PSRJ       |J|PSRB     |       ELON|  e_ELON|       ELAT|   e_ELAT|pmELON|mELON| pmELAT|pmELAT|  pmRA|_pmRA|   pmDE|e_pmDE|NTOA|  Epoch|Span| tRMS
-----------|-|---------|-----------|--------|-----------|---------|------|-----|-------|------|------|-----|-------|------|----|-------|----|-----
J0421-0345 | |         | 62.73507  |.0000600|-24.89169  |0.0001700|  -3. | 71. | -100. | 300. |  19. | 68. | -100. | 300. | 140|50847.0| 9.7|  977
J0448-2749 | |         | 65.22941  |.0000300|-49.74725  |0.0000300|  23. | 32. |   35. |  61. |  16. | 30. |   39. |  62. | 237|51009.0| 8.9|  529
J0450-1248 | |B0447-12 | 69.074009 |.0000150|-34.98124  |0.0000300|  10. | 11. |  -23. |  22. |  13. | 11. |  -21. |  22. | 388|49338.0|18.0|  808
J0452-1759 | |B0450-18 | 68.831580 |.0000050|-40.198302 |0.0000070|  10. |  4. |    1. |   5. |  10. |  4. |    3. |   6. | 475|49289.0|18.3|  214
J0454+5543 | |B0450+55 | 79.038247 |.0000080|+32.913851 |0.0000120|  46. |  6. |  -19. |  12. |  48. |  6. |  -13. |  12. | 280|49910.0|14.8|  236
J0459-0210 | |         | 73.41672  |.0000300|-24.74647  |0.0000600|  -8. | 25. |   90. |  83. | -18. | 24. |   89. |  83. | 168|50845.0| 9.7|  596
J0502+4654 | |B0458+46 | 79.220707 |.0000110|+24.00282  |0.0000300|   6. |  8. |   41. |  19. |   1. |  8. |   42. |  19. | 426|48717.0|21.4|  418
J0520-2553 | |         | 76.471159 |.0000190|-48.86451  |0.0000300|   0. | 20. |    7. |  40. |  -1. | 19. |    7. |  41. |  99|51216.0| 7.8|  333
J0525+1115 | |B0523+11 | 81.464389 |.0000050|-11.93204  |0.0000300|  27. |  3. |  -30. |  13. |  28. |  3. |  -28. |  13. | 569|48262.0|24.1|  228
J0528+2200 |g|B0525+21 | 82.786050 |.0000160| -1.2443   |0.0008000| -25. |  6. |  200. | 300. | -38. | 15. |  200. | 300. | 847|46517.0|33.6|  907
