#Table: J/MNRAS/352/1439/table1.dat (cdsarc.u-strasbg.fr)
-------------------------------------------------------------------------------------------------------
          |f|              |      |             |      |            |  |    |     |     |    |     |
          |_|              |      |             |      |            |  |    |     |     |    |     |
          |P|              |      |             |      |            |  |    |     |     |    |     |
          |S|              |      |             |      |            |  |    |     |     |    |     |
          |R| R  R         |      |  D  D       |      |            |Be|   b|     |     |  e_|     |
PSRJ      |J|Ah Am      RAs| e_RAs| Ed Em    DEs| e_DEs|  GLON  GLAT|am|Dist|  S/N| S1.4|S1.4|  W50|W10
----------|-|--------------|------|-------------|------|------------|--|----|-----|-----|----|-----|---
1731-3123 | |17 31 00.53   |.03000|-31 23 43.   | 4.000|356.23  1.35| 6|1.06| 14.7|0.29 |.040| 19.0|  -
1732-4156 | |17 32 48.86   |.04000|-41 56 29.6  | 1.600|347.59 -4.71| 5|0.67| 17.9|0.22 |.030| 21.0|  -
1733-3030 | |17 33 58.89   |.06000|-30 30 49.   | 7.000|357.32  1.30|13|0.64| 10.2|0.20 |.030| 16.0|  -
1733-4005 | |17 33 58.64   |.03000|-40 05 39.7  | 1.500|349.27 -3.89|13|0.71| 40.0|0.49 |.060| 14.0| 23
1736-2819 | |17 36 24.73   |.09000|-28 19 42.   |16.000|359.45  2.04| 7|0.78| 10.3|0.16 |.030| 21.0|  -
1736-2843 | |17 36 42.59   |.16000|-28 43 51.   |22.000|359.14  1.76| 1|0.63| 47.4|0.43 |.050|145.0|  -
1737-3320 | |17 37 10.51   |.05000|-33 20 20.   | 5.000|355.31 -0.79| 5|0.40| 22.2|0.35 |.040| 42.0|  -
1738-2647 | |17 38 05.03   |.04000|-26 47 46.   |26.000|  0.94  2.54|12|0.93| 20.6|0.44 |.050| 12.0|  -
1738-3107 | |17 38 47.4    |.30000|-31 07 44.   |14.000|357.36  0.10|12|1.04| 12.0|0.26 |.040| 34.0|  -
1738-3316 | |17 38 34.45   |.06000|-33 16 01.6  | 4.900|355.53 -1.00| 9|0.70| 21.0|0.55 |.070| 91.0|  -
1740-2540 | |17 40 45.32   |.06000|-25 40 19.   |18.000|  2.21  2.63| 6|0.21| 17.6|0.16 |.030| 30.0|  -
1740-3327 | |17 40 25.72   |.03000|-33 27 53.5  | 1.700|355.56 -1.44| 3|1.08| 15.8|0.30 |.040| 11.0| 23
1743-2442 | |17 43 20.12   |.10000|-24 42 55.   |41.000|  3.33  2.64| 4|0.38| 14.8|0.14 |.020| 75.0|  -
1745-2229 | |17 45 16.71   |.07000|-22 29 14.   |25.000|  5.47  3.42|12|0.33| 18.9|0.13 |.020| 14.0|  -
1749-2347 | |17 49 15.61   |.12000|-23 47 17.   |82.000|  4.83  1.97| 5|1.40| 11.5|0.13 |.020|  9.1|  -
1750-2444 | |17 50 22.96   |.08000|-24 44 47.   |42.000|  4.14  1.26|13|0.50| 15.7|0.27 |.040| 32.0|  -
1752-2410 | |17 52 58.742  |.01500|-24 10 26.   |15.000|  4.93  1.04|10|2.71| 30.2|0.47 |.060|  7.1|  -
1754-3443 | |17 54 37.372  |.01400|-34 43 53.9  | 1.000|355.99 -4.61| 8|0.91| 33.4|0.49 |.060| 12.0| 21
1755-25211| |17 55 19.31   |.05000|-25 21 09.   |18.000|  4.18 -0.02| 6|0.26| 15.1|0.17 |.030| 20.0|  -
1755-2534 | |17 55 49.82   |.03000|-25 34 39.   |11.000|  4.05 -0.23|10|0.29|  9.2|0.17 |.030| 15.0|  -
1756-2225 | |17 56 25.56   |.08000|-22 25 48.   |66.000|  6.84  1.24| 1|0.67| 17.0|0.25 |.040| 19.0|  -
1758-1931 | |17 58 05.60   |.07000|-19 31 41.   |11.000|  9.54  2.35| 6|0.79| 20.4|0.38 |.050| 21.0|  -
1759-1903 | |17 59 41.76   |.16000|-19 03 19.   |27.000| 10.14  2.26| 2|0.39| 16.4|0.16 |.030| 34.0|  -
1759-3107 | |17 59 22.056  |.01400|-31 07 21.5  | 2.000|359.63 -3.67|10|0.99| 97.8|0.91 |.100| 16.0| 27
1800-2114 | |18 00 12.3    |.40000|-21 14 19.   |75.000|  8.31  1.07| 1|0.56| 18.7|0.30 |.040| 90.0|  -
1801-2115 | |18 01 32.49   |.12000|-21 15 18.   |53.000|  8.45  0.79| 1|0.46| 12.0|0.19 |.030| 47.0|  -
1801-2154 | |18 01 08.33   |.03000|-21 54 32.   |12.000|  7.83  0.55|11|0.49| 15.0|0.18 |.030|  9.6|  -
1803-1616 | |18 03 34.68   |.03000|-16 16 30.   | 4.000| 13.02  2.83| 5|0.55| 16.9|0.16 |.030| 19.0|  -
1803-1920 | |18 03 29.44   |.03000|-19 20 41.   | 7.000| 10.33  1.34| 9|0.49| 18.6|0.27 |.040| 12.0|  -
1805-2447 | |18 05 25.93   |.03000|-24 47 30.   |14.000|  5.81 -1.72| 3|0.88| 13.6|0.27 |.040| 11.0| 22
1806-1618 | |18 06 25.78   |.06000|-16 18 38.   | 8.000| 13.32  2.21|11|0.53| 11.9|0.22 |.030| 34.0|  -
1809-1850 | |18 09 37.21   |.12000|-18 50 55.   |21.000| 11.47  0.32| 6|0.93| 13.0|0.20 |.030| 55.0|  -
1810-1441 | |18 10 59.162  |.01400|-14 41 33.6  | 1.300| 15.27  2.03| 5|0.96| 10.6|0.21 |.030| 14.0|  -
1812-1910 | |18 12 34.89   |.10000|-19 10 39.   |10.000| 11.52 -0.46| 4|0.88| 10.2|0.22 |.030| 28.0|  -
