psr_name, pos_epoch, ra, dec, pmra, pmdec, plx, ra_err, dec_err, pmra_err, pmdec_err, plx_err
# , MJD, deg, deg, mas/yr, mas/yr, mas, mas, mas, mas/yr, mas/yr, mas
J2046+1540,56000.0, 311.6639054167,  15.6759883333, -10.460,   0.680,   0.310, 1.444, 1.000, 0.090, 0.090, 0.080
J2046-0421,56000.0, 311.5007208333,  -4.3572933333,  10.760,  -4.400,   0.170, 1.496, 2.000, 0.040, 0.370, 0.040
J2113+2754,56000.0, 318.2681275000,  27.9003222222, -27.980, -54.430,   0.700, 1.326, 1.000, 0.050, 0.100, 0.020
J2113+4644,56000.0, 318.3513729167,  46.7357900000,   9.530,   8.850,   0.450, 1.028, 1.000, 0.150, 0.090, 0.080
J2145-0750,56000.0, 326.4602450000,  -7.8384761111,  -9.510,  -9.100,   1.600, 1.486, 4.000, 0.040, 0.090, 0.030
J2149+6329,56000.0, 327.4945970833,  63.4956325000,  15.790,  11.260,   0.360, 1.339, 2.000, 0.130, 0.280, 0.070
J2150+5247,56000.0, 327.6572912500,  52.7970988889,   8.380,  -4.430,   0.030, 0.907, 1.000, 0.230, 0.350, 0.160
J2212+2933,56000.0, 333.0972683333,  29.5515030556,  -5.510, -11.320,   0.270, 1.305, 1.000, 0.100, 0.130, 0.120
J2225+6535,56000.0, 336.4702612500,  65.5934363889, 147.220, 126.530,   1.200, 1.859, 1.000, 0.240, 0.120, 0.200
J2248-0101,56000.0, 342.1120245833,  -1.0300236111, -10.550, -17.410,   0.260, 1.500, 1.000, 0.120, 0.270, 0.070
J2305+3100,56000.0, 346.4930050000,  31.0003558333,  -3.740, -15.570,   0.220, 1.286, 1.000, 0.080, 0.160, 0.030
J2317+1439,56000.0, 349.2884850000,  14.6586847222,  -1.480,   3.810,   0.600, 1.451, 1.000, 0.470, 0.700, 1.530
J2317+2149,56000.0, 349.4910079167,  21.8300052778,   8.520,   0.140,   0.510, 1.392, 1.000, 0.100, 0.190, 0.060
J2325+6316,56000.0, 351.3054983333,  63.2812116667,  -5.930,  -2.050,  -0.010, 1.349, 1.000, 0.080, 0.190, 0.050
J2346-0609,56000.0, 356.7104075000,  -6.1666386111,  37.390, -20.230,   0.280, 1.491, 2.000, 0.040, 0.110, 0.040
J2354+6155,56000.0, 358.5199291667,  61.9296791667,  22.750,   4.890,   0.410, 0.706, 1.000, 0.060, 0.030, 0.040
# add from MSPSRPI
# RA: 10:12:33.4399(1); Dec: 53:07:02.113(1); PLX: 1.21+0.03-0.08
# PMRA: 2.67+0.05-0.09; PMDEC: -25.40+0.14-0.09
J1012+5307,57700.0, 153.13933291666663, 53.11725361111111, 2.67, -25.40, 1.21, 0.900, 1, 0.09, 0.14, 0.08
# RA: 15:37:09.963467(4); Dec:11:55:55.0274(2); 1.07+0.09-0.08
# PMRA: 1.51 +/- 0.02, PMDEC:-25.31+0.04-0.05
# SIGMA RA = 0.059 mas, SIGMA DEC = 0.2 mas
# ADD a sigma of 0.8 mas in each axis
J1537+1155,57964,  234.29151444583334, 11.931952055555556, 1.51, -25.31, 1.07, 0.802, 0.825, 0.02, 0.05, 0.09 
