          |           |   N|     |    E| R  R           |        |  D  D          |       |       |    e|       |      |                  |        |         |       |    | e_|        |     |        |      |         |       |                |           |           |      |           |         |        |      e|          |     |         |        |          |   E|      |               |       |           |             |      |      |      d|    e_d|          |       e|        |e_dP/|      d|e_dP/|g|     |_|    |   M
PSR       | MJD1  MJD2|TOAs|  rms|pochR|Ah Am        RAs|   e_RAs| Ed Em       DEs|  e_DEs|   pmRA|_pmRA|   pmDE|e_pmDE|               Per|   e_Per|    dP/dt|e_dP/dt| plx|plx|      DM| e_DM|     DM1| e_DM1|      DM2|  e_DM2|              Pb|       e_Pb|         T0|  e_T0|          x|      e_x|  Omega0|_Omega0|         e|  e_e|    kappa| e_kappa|       eta|_eta| e_eta|            Tan|  e_Tan| GLON  GLAT|   d   E_  e_|   CPM| e_CPM|P/dtSHK|P/dtSHK|   dP/dtKZ|_dP/dtKZ|dP/dtDGR|dtDGR|P/dtInt|dtInt|e|  Age|B|   B|2min
----------|-----------|----|-----|-----|----------------|--------|----------------|-------|-------|-----|-------|------|------------------|--------|---------|-------|----|---|--------|-----|--------|------|---------|-------|----------------|-----------|-----------|------|-----------|---------|--------|-------|----------|-----|---------|--------|----------|----|------|---------------|-------|-----------|-------------|------|------|-------|-------|----------|--------|--------|-----|-------|-----|-|-----|-|----|----
J0621+1002|52482-56780| 673|15.6 |55000|06 21 22.11436  |.00003  |+10 02 38.7352  |.0015  |  3.23 | .12 | -0.5  |  .5  |28.8538611940574  |1600E-15| 4.730   |.005   |--- |   | 36.47  |.03  |-0.0094 |.0003 | 0.0011  |.0002  |  8.3186812     | 300000E-12|49746.86675|.00019|12.0320732 |.0000004 |188.774 |  .009 |0.00245724|7E-8 |---      |        |---       |    |      |---            |       |200.6  -2.0|---          | 3.27 |  .14 |0.1    |       |-0.0016   |        | 0.24   |     | 4.39  |     | |10.4 | |11.4|0.41
J0751+1807|50363-56793|1491| 3.0 |55000|07 51 09.155331 |.000013 |+18 07 38.4864  |.0010  | -2.73 | .05 |-13.4  |  .3  | 3.47877083927942 |  40E-15| 0.77874 |.00005 |0.82|.17| 30.246 |.006 | 0.0000 |.0002 | 0.00004 |.00004 |  0.263144270792|      7E-12|51800.283  |.007  | 0.3966158 |.0000003 | 92.    | 9.    |3.3E-6    |5E-6 |3.3E-6   |5E-6    |3.8E-7    |    | 50E-7|51800.21586826 |  40E-9|202.7  21.1| 999+ 202-146|13.7  |  .3  |0.16   | .03   |-0.015    |.002    | 0.018  |.004 | 0.62  | .03 | | 8.9 | | 1.5|0.12
J0900-3144|54286-56793| 875| 3.1 |55000|09 00 43.953088 |.000008 |-31 44 30.89520 |.00013 | -1.01 | .05 |  2.02 |  .07 |11.1096493380938  | 600E-15| 4.8880  |.0011  |0.77|.44| 75.707 |.008 | 0.0009 |.0007 |-0.0002  |.0003  | 18.7376360594  |    900E-12|52682.295  |.005  |17.24881126|.00000015| 70.41  |  .10  |1.0490E-5 |17E-5|9.883E-6 |17E-6   |3.517E-6  |    | 17E-6|52678.63028819 | 130E-9|256.2   9.5| 815+ 378-211| 2.26 |  .07 |0.011  | .005  |-0.012    |.004    |-0.06   |.03  | 4.95  | .03 | | 3.6 | | 7.5|0.33
J1012+5307|50647-56794|1459| 1.6 |55000|10 12 33.437521 |.000005 |+53 07 02.29999 |.00006 |  2.609| .008|-25.482|  .011| 5.255749101970103|  19E-15| 1.712730|.000017|0.71|.17|  9.0172|.0014| 0.00016|.00002| 0.000016|.000002|  0.604672722901|     13E-12|50700.229  |.013  | 0.58181703|.00000012| 88.    | 8.    |1.30E-6   |16E-6|1.30E-6  |16E-6   |5.1E-8    |    |173E-8|50700.08174604 |  30E-9|160.3  50.9|1148+ 241-175|25.615|  .011|1.0    | .2    |-0.077    |.007    | 0.016  |.003 | 0.8   | .2  | |10.3 | | 2.1|0.10
J1022+1001|50361-56767| 908| 2.5 |55000|10 22 57.9992   |.0015   |+10 01 52.78    |.06    |-18.2  |6.4  | -3.   |16.   |16.45292995606771 | 110E-15| 4.3322  |.0004  |0.72|.20| 10.250 |.004 | 0.0004 |.0001 | 0.00026 |.00005 |  7.8051348     |1100000E-12|50246.7166 |.0007 |16.7654104 |.0000005 | 97.68  |  .03  |9.7229E-5 |14E-5|---      |        |---       |    |      |---            |       |242.4  43.7|1092+ 258-182|19.   | 9.   |1.6    |1.4    |-0.24     |.02     |-0.010  |.002 | 3.0   |1.4  | | 8.7 | | 7.1|0.66
J1024-0719|50460-56764| 561| 8.3 |55000|10 24 38.675378 |.000005 |-07 19 19.43395 |.00015 |-35.28 | .03 |-48.18 |  .07 | 5.1622046403157  | 300E-15| 1.8553  |.0004  |0.80|.17|  6.485 |.010 | 0.0025 |.0008 |-0.0007  |.0002  |---             |           |---        |      |---        |         |---     |       |---       |     |---      |        |---       |    |      |---            |       |251.7  40.5|1083+ 226-163|59.72 |  .06 |4.8    |1.0    |-0.057    |.005    |-0.021  |.004 | 2.9   |1.0  | | --- | | ---|---
J1455-3330|53375-56752| 524| 2.7 |55000|14 55 47.969869 |.000014 |-33 30 46.3801  |.0004  |  7.88 | .08 | -2.23 |  .19 | 7.987204929333   |3000E-15| 2.428   |.004   |1.04|.35| 13.563 |.007 |-0.002  |.004  | 0.001   |.001   | 76.174568631   |   9000E-12|48980.1330 |.0010 |32.362222  |.000003  |223.460 |  .005 |1.69636E-4|12E-4|---      |        |---       |    |      |---            |       |330.7  22.6| 797+ 304-179| 8.19 |  .09 |0.10   | .04   |-0.035    |.007    | 0.03   |.01  | 2.33  | .04 | | 5.4 | | 4.4|0.23
J1600-3053|53998-56795| 531| 0.46|55000|16 00 51.903338 |.000004 |-30 53 49.37542 |.00018 | -0.940| .019| -6.94 |  .07 | 3.59792851006493 |  30E-15| 0.95014 |.00006 |0.64|.07| 52.3245|.0016|-0.0003 |.0001 | 0.000012|.000047| 14.34845777290 |    150E-12|52506.3739 |.0004 | 8.8016546 |.0000005 |181.835 |  .009 |1.73723E-4|8E-4 |---      |        |68.6      |+3.4|   3.8|---            |       |344.1  16.5|1492+ 187-150| 7.00 |  .07 |0.064  | .008  |-0.0137   |.0009   | 0.043  |.007 | 0.86  | .01 | | 6.7 | | 1.8|0.19
J1640+2224|50459-56761| 595| 1.8 |55000|16 40 16.744834 |.000007 |+22 24 08.84121 |.00013 |  2.087| .020|-11.29 |  .04 | 3.16331586776034 |  50E-15| 0.28161 |.00011 |--- |   | 18.422 |.010 |-0.0000 |.0002 | 0.00006 |.00008 |175.460664603   |  11000E-12|51626.1804 |.0003 |55.3297223 |.0000005 | 50.7343|  .0005|7.97299E-4|8E-4 |---      |        |---       |    |      |---            |       | 41.1  38.3|---          |11.49 |  .04 |0.12   |       |-0.033    |        | 0.0013 |     | 0.196 |     | |25.6 | | 0.8|0.23
J1643-1224|50459-56778| 759| 1.7 |55000|16 43 38.161498 |.000008 |-12 24 58.6735  |.0006  |  6.04 | .04 |  4.07 |  .15 | 4.62164152573380 | 100E-15| 1.8461  |.0003  |1.17|.26| 62.411 |.005 |-0.0013 |.0003 | 0.0000  |.0001  |147.017397756   |  17000E-12|49283.9337 |.0005 |25.0726144 |.0000007 |321.8488|  .0010|5.05746E-4|9E-4 |---      |        |---       |    |      |---            |       |  5.7  21.2| 758+ 185-127| 7.28 |  .09 |0.05   | .01   |-0.018    |.003    | 0.029  |.008 | 1.79  | .02 | | 4.1 | | 2.9|0.11
