psr_name, pos_epoch, ra_str, dec_str, pmra_str, pmdec_str, plx_str, 
J0636+5129, 56307.0, 06:36:04.84645(2), 51:28:59.9625(6), 4.3(9), 2(1), , 
J1816+4510, 56047.0, 18:16:35.93436(7), 45:10:33.8618(8), 5.3(8), -3(1), , 
J0214+5222, 55974.0, 02:14:55.2713(34), 52:22:40.95(19), 0(0), 0(0), , 
J0645+5158, 56143.0, 06:45:59.08191(1), 51:58:14.9210(1), 1.2(1), -7.5(2), , 
J1434+7257, 55891.0, 14:33:59.7370(9), 72:57:26.512(6), 0(0), 0(0), , 
