1 J0437-4715   4 37 15.99744 0.00001 -47 15  9.7170 0.0001 173.687945349246 0.000000000007    -1.7280 0.0002   4.3 0.8 458 1.2 445 3.1 w
2 J0737-3039A  7 37 51.2472  0.0004  -30 39 40.67   0.02    44.0540680812   0.0000000001      -3.412  0.008   32.9 1.5  55 0.9  42 2.3  
3 J1141-6545  11 41  6.970   0.002   -65 45 19.16   0.01     2.538715900675 0.000000000003   -27.7659 0.0002 161.3 0.4 205 1.3 194 2.5  
4 J1302-6350  13  2 47.62    0.02    -63 50  8.7    0.2     20.93629909     0.00000001     -1002.     1.     378.2 7.9  34 1.5  24 2.1  
5 J1909-3744  19  9 47.4282  0.0001  -37 44 14.774  0.006  339.31568685584  0.0000000008      -1.611  0.007    3.1 1.1  48 1.1  38 1.9 w
6 J2145-0750  21 45 50.4559  0.0002  -07 50 18.590  0.007   62.29588781141  0.0000000002      -0.1145 0.0005   8.7 0.5 136 1.3 126 2.8  
7 J2222-0137  22 22  5.9856  0.0006  -01 37 15.81   0.02    30.47121332913  0.0000000002      -0.054  0.001   17.3 0.5  87 1.2  75 2.1  
8 J2241-5236  22 41 42.03161 0.00002 -52 36 36.2492 0.0002 457.31014943814  0.0000000001      -1.444  0.001    3.5 1.6 239 1.1 227 2.4 w
